N. Instance,Solution Status,Height,Time,N. Failures
1,OPTIMAL_SOLUTION,8,0.006,0
2,OPTIMAL_SOLUTION,9,0.006,4
3,OPTIMAL_SOLUTION,10,0.007,5
4,OPTIMAL_SOLUTION,11,0.007,10
5,OPTIMAL_SOLUTION,12,0.013,214
6,OPTIMAL_SOLUTION,13,0.009,11
7,OPTIMAL_SOLUTION,14,0.013,21
8,OPTIMAL_SOLUTION,15,0.015,48
9,OPTIMAL_SOLUTION,16,0.026,416
10,OPTIMAL_SOLUTION,17,0.032,500
11,OPTIMAL_SOLUTION,18,0.071,1412
12,OPTIMAL_SOLUTION,19,0.335,10065
13,OPTIMAL_SOLUTION,20,4.692,73835
14,OPTIMAL_SOLUTION,21,50.842,601254
15,OPTIMAL_SOLUTION,22,0.058,1402
16,UNKNOWN,,,
17,OPTIMAL_SOLUTION,24,68.059,1073777
18,UNKNOWN,,,
19,UNKNOWN,,,
20,UNKNOWN,,,
21,UNKNOWN,,,
22,UNKNOWN,,,
23,UNKNOWN,,,
24,OPTIMAL_SOLUTION,31,38.835,498621
25,UNKNOWN,,,
26,UNKNOWN,,,
27,UNKNOWN,,,
28,UNKNOWN,,,
29,UNKNOWN,,,
30,UNKNOWN,,,
31,OPTIMAL_SOLUTION,38,2.176,39701
32,UNKNOWN,,,
33,OPTIMAL_SOLUTION,40,62.186,753953
34,UNKNOWN,,,
35,UNKNOWN,,,
36,UNKNOWN,,,
37,UNKNOWN,,,
38,UNKNOWN,,,
39,UNKNOWN,,,
40,UNKNOWN,,,
