N. Instance,Solution Status,Height,Time,N. Failures
1,OPTIMAL_SOLUTION,8,0.006,0
2,OPTIMAL_SOLUTION,9,0.006,4
3,OPTIMAL_SOLUTION,10,0.006,5
4,OPTIMAL_SOLUTION,11,0.007,6
5,OPTIMAL_SOLUTION,12,0.011,133
6,OPTIMAL_SOLUTION,13,0.01,9
7,OPTIMAL_SOLUTION,14,0.009,16
8,OPTIMAL_SOLUTION,15,0.008,48
9,OPTIMAL_SOLUTION,16,0.018,449
10,OPTIMAL_SOLUTION,17,0.026,528
11,OPTIMAL_SOLUTION,18,0.06,1412
12,OPTIMAL_SOLUTION,19,0.347,11669
13,OPTIMAL_SOLUTION,20,5.975,92652
14,OPTIMAL_SOLUTION,21,56.748,669394
15,OPTIMAL_SOLUTION,22,0.047,1402
16,UNKNOWN,,,
17,OPTIMAL_SOLUTION,24,70.963,1115684
18,UNKNOWN,,,
19,UNKNOWN,,,
20,UNKNOWN,,,
21,UNKNOWN,,,
22,UNKNOWN,,,
23,UNKNOWN,,,
24,OPTIMAL_SOLUTION,31,45.205,645296
25,UNKNOWN,,,
26,UNKNOWN,,,
27,UNKNOWN,,,
28,UNKNOWN,,,
29,UNKNOWN,,,
30,UNKNOWN,,,
31,OPTIMAL_SOLUTION,38,2.608,51821
32,UNKNOWN,,,
33,OPTIMAL_SOLUTION,40,84.873,1126563
34,UNKNOWN,,,
35,UNKNOWN,,,
36,UNKNOWN,,,
37,UNKNOWN,,,
38,UNKNOWN,,,
39,UNKNOWN,,,
40,UNKNOWN,,,
