N. Instance,Solution Status,Height,Time,N. Failures
1,OPTIMAL_SOLUTION,8,0.007,4
2,OPTIMAL_SOLUTION,9,0.006,7
3,OPTIMAL_SOLUTION,10,0.009,13
4,OPTIMAL_SOLUTION,11,0.01,6
5,OPTIMAL_SOLUTION,12,0.027,285
6,OPTIMAL_SOLUTION,13,0.013,7
7,OPTIMAL_SOLUTION,14,0.013,1
8,OPTIMAL_SOLUTION,15,0.016,18
9,OPTIMAL_SOLUTION,16,0.026,189
10,OPTIMAL_SOLUTION,17,0.023,59
11,OPTIMAL_SOLUTION,18,0.239,1872
12,OPTIMAL_SOLUTION,19,0.218,2179
13,OPTIMAL_SOLUTION,20,0.338,3704
14,OPTIMAL_SOLUTION,21,0.265,2498
15,OPTIMAL_SOLUTION,22,0.223,821
16,OPTIMAL_SOLUTION,23,1.067,8412
17,OPTIMAL_SOLUTION,24,0.044,40
18,OPTIMAL_SOLUTION,25,0.714,4992
19,OPTIMAL_SOLUTION,26,32.983,211265
20,OPTIMAL_SOLUTION,27,8.411,64087
21,OPTIMAL_SOLUTION,28,3.532,29565
22,OPTIMAL_SOLUTION,29,7.748,46129
23,OPTIMAL_SOLUTION,30,0.517,2736
24,OPTIMAL_SOLUTION,31,0.664,4433
25,OPTIMAL_SOLUTION,32,55.923,256299
26,OPTIMAL_SOLUTION,33,89.572,607111
27,OPTIMAL_SOLUTION,34,1.486,11421
28,OPTIMAL_SOLUTION,35,1.592,11660
29,OPTIMAL_SOLUTION,36,2.079,11135
30,OPTIMAL_SOLUTION,37,217.76,878910
31,OPTIMAL_SOLUTION,38,0.356,2040
32,OPTIMAL_SOLUTION,39,33.318,198209
33,OPTIMAL_SOLUTION,40,1.158,9101
34,SATISFIED,40,299.624,1782655
35,SATISFIED,40,299.603,1525477
36,SATISFIED,40,299.599,1490980
37,SATISFIED,60,299.618,1376336
38,SATISFIED,60,299.617,1362941
39,SATISFIED,60,299.604,1290845
40,SATISFIED,92,299.574,559455
