N. Instance,Solution Status,Height,Time,N. Failures
1,OPTIMAL_SOLUTION,8,0.008,0
2,OPTIMAL_SOLUTION,9,0.009,4
3,OPTIMAL_SOLUTION,10,0.01,5
4,OPTIMAL_SOLUTION,11,0.011,10
5,OPTIMAL_SOLUTION,12,0.028,269
6,OPTIMAL_SOLUTION,13,0.016,11
7,OPTIMAL_SOLUTION,14,0.016,21
8,OPTIMAL_SOLUTION,15,0.026,48
9,OPTIMAL_SOLUTION,16,0.047,288
10,OPTIMAL_SOLUTION,17,0.106,924
11,OPTIMAL_SOLUTION,18,0.242,1839
12,OPTIMAL_SOLUTION,19,0.127,829
13,OPTIMAL_SOLUTION,20,0.127,807
14,OPTIMAL_SOLUTION,21,0.223,1546
15,OPTIMAL_SOLUTION,22,0.277,1817
16,OPTIMAL_SOLUTION,23,0.652,3616
17,OPTIMAL_SOLUTION,24,0.557,3868
18,OPTIMAL_SOLUTION,25,0.824,3673
19,OPTIMAL_SOLUTION,26,1.855,11612
20,OPTIMAL_SOLUTION,27,1.759,11405
21,OPTIMAL_SOLUTION,28,1.07,6048
22,OPTIMAL_SOLUTION,29,21.523,78427
23,OPTIMAL_SOLUTION,30,1.362,9890
24,OPTIMAL_SOLUTION,31,0.515,2549
25,OPTIMAL_SOLUTION,32,19.531,56642
26,OPTIMAL_SOLUTION,33,130.095,659845
27,OPTIMAL_SOLUTION,34,1.199,4207
28,OPTIMAL_SOLUTION,35,3.61,16346
29,OPTIMAL_SOLUTION,36,3.238,14451
30,OPTIMAL_SOLUTION,37,220.807,545004
31,OPTIMAL_SOLUTION,38,1.84,10013
32,OPTIMAL_SOLUTION,39,201.396,1231303
33,OPTIMAL_SOLUTION,40,0.813,4862
34,SATISFIED,40,299.603,1788312
35,SATISFIED,40,299.61,1544454
36,SATISFIED,40,299.579,1439813
37,SATISFIED,60,299.637,1352565
38,SATISFIED,60,299.587,1414416
39,SATISFIED,60,299.614,1348592
40,SATISFIED,92,299.518,583933
