N. Instance,Solution Status,Height,Time,N. Failures
1,OPTIMAL_SOLUTION,8,0.007,4
2,OPTIMAL_SOLUTION,9,0.007,7
3,OPTIMAL_SOLUTION,10,0.008,13
4,OPTIMAL_SOLUTION,11,0.013,6
5,OPTIMAL_SOLUTION,12,0.022,285
6,OPTIMAL_SOLUTION,13,0.013,7
7,OPTIMAL_SOLUTION,14,0.025,1
8,OPTIMAL_SOLUTION,15,0.018,18
9,OPTIMAL_SOLUTION,16,0.024,189
10,OPTIMAL_SOLUTION,17,0.033,59
11,OPTIMAL_SOLUTION,18,0.278,1872
12,OPTIMAL_SOLUTION,19,0.221,2179
13,OPTIMAL_SOLUTION,20,0.31,3704
14,OPTIMAL_SOLUTION,21,0.251,2498
15,OPTIMAL_SOLUTION,22,0.168,821
16,OPTIMAL_SOLUTION,23,1.23,8412
17,OPTIMAL_SOLUTION,24,0.045,40
18,OPTIMAL_SOLUTION,25,0.64,4992
19,OPTIMAL_SOLUTION,26,34.068,211265
20,OPTIMAL_SOLUTION,27,7.813,64087
21,OPTIMAL_SOLUTION,28,3.439,29565
22,OPTIMAL_SOLUTION,29,6.944,46129
23,OPTIMAL_SOLUTION,30,0.507,2736
24,OPTIMAL_SOLUTION,31,0.616,4433
25,OPTIMAL_SOLUTION,32,51.262,256299
26,OPTIMAL_SOLUTION,33,92.172,607111
27,OPTIMAL_SOLUTION,34,1.436,11421
28,OPTIMAL_SOLUTION,35,1.549,11660
29,OPTIMAL_SOLUTION,36,1.971,11135
30,OPTIMAL_SOLUTION,37,220.38,878910
31,OPTIMAL_SOLUTION,38,0.353,2040
32,OPTIMAL_SOLUTION,39,35.028,198209
33,OPTIMAL_SOLUTION,40,1.14,9101
34,SATISFIED,40,299.615,1743607
35,SATISFIED,40,299.651,1529489
36,SATISFIED,40,299.616,1394791
37,SATISFIED,60,299.618,1283205
38,SATISFIED,60,299.592,1216181
39,SATISFIED,60,299.653,1223192
40,SATISFIED,92,299.569,510900
