N. Instance,Solution Status,Height,Time,N. Failures
1,OPTIMAL_SOLUTION,8,0.014,0
2,OPTIMAL_SOLUTION,9,0.006,4
3,OPTIMAL_SOLUTION,10,0.007,5
4,OPTIMAL_SOLUTION,11,0.008,10
5,OPTIMAL_SOLUTION,12,0.019,269
6,OPTIMAL_SOLUTION,13,0.011,11
7,OPTIMAL_SOLUTION,14,0.01,21
8,OPTIMAL_SOLUTION,15,0.015,48
9,OPTIMAL_SOLUTION,16,0.03,288
10,OPTIMAL_SOLUTION,17,0.069,924
11,OPTIMAL_SOLUTION,18,0.154,1839
12,OPTIMAL_SOLUTION,19,0.083,829
13,OPTIMAL_SOLUTION,20,0.083,807
14,OPTIMAL_SOLUTION,21,0.142,1546
15,OPTIMAL_SOLUTION,22,0.177,1817
16,OPTIMAL_SOLUTION,23,0.401,3616
17,OPTIMAL_SOLUTION,24,0.449,3868
18,OPTIMAL_SOLUTION,25,0.416,3673
19,OPTIMAL_SOLUTION,26,1.164,11612
20,OPTIMAL_SOLUTION,27,1.162,11405
21,OPTIMAL_SOLUTION,28,0.675,6048
22,OPTIMAL_SOLUTION,29,9.08,78427
23,OPTIMAL_SOLUTION,30,0.866,9890
24,OPTIMAL_SOLUTION,31,0.338,2549
25,OPTIMAL_SOLUTION,32,11.745,56642
26,OPTIMAL_SOLUTION,33,78.336,659845
27,OPTIMAL_SOLUTION,34,0.597,4207
28,OPTIMAL_SOLUTION,35,1.682,16346
29,OPTIMAL_SOLUTION,36,1.541,14451
30,OPTIMAL_SOLUTION,37,106.57,545004
31,OPTIMAL_SOLUTION,38,0.891,10013
32,OPTIMAL_SOLUTION,39,166.973,1231303
33,OPTIMAL_SOLUTION,40,0.626,4862
34,SATISFIED,40,299.687,2230226
35,SATISFIED,40,299.678,1886467
36,SATISFIED,40,299.668,1735437
37,SATISFIED,60,299.683,1640393
38,SATISFIED,60,299.69,1717153
39,SATISFIED,60,299.685,1650279
40,SATISFIED,92,299.636,731525
