N. Instance,Solution Status,Height,Time,N. Failures
1,OPTIMAL_SOLUTION,8,0.007,0
2,OPTIMAL_SOLUTION,9,0.005,4
3,OPTIMAL_SOLUTION,10,0.007,5
4,OPTIMAL_SOLUTION,11,0.008,10
5,OPTIMAL_SOLUTION,12,0.019,269
6,OPTIMAL_SOLUTION,13,0.013,11
7,OPTIMAL_SOLUTION,14,0.013,21
8,OPTIMAL_SOLUTION,15,0.015,48
9,OPTIMAL_SOLUTION,16,0.031,288
10,OPTIMAL_SOLUTION,17,0.07,924
11,OPTIMAL_SOLUTION,18,0.171,1839
12,OPTIMAL_SOLUTION,19,0.084,829
13,OPTIMAL_SOLUTION,20,0.113,807
14,OPTIMAL_SOLUTION,21,0.141,1546
15,OPTIMAL_SOLUTION,22,0.194,1817
16,OPTIMAL_SOLUTION,23,0.439,3616
17,OPTIMAL_SOLUTION,24,0.369,3868
18,OPTIMAL_SOLUTION,25,0.43,3673
19,OPTIMAL_SOLUTION,26,1.214,11612
20,OPTIMAL_SOLUTION,27,1.16,11405
21,OPTIMAL_SOLUTION,28,0.895,6048
22,OPTIMAL_SOLUTION,29,9.327,78427
23,OPTIMAL_SOLUTION,30,0.938,9890
24,OPTIMAL_SOLUTION,31,0.481,2549
25,OPTIMAL_SOLUTION,32,11.983,56642
26,OPTIMAL_SOLUTION,33,79.723,659845
27,OPTIMAL_SOLUTION,34,0.609,4207
28,OPTIMAL_SOLUTION,35,1.72,16346
29,OPTIMAL_SOLUTION,36,1.553,14451
30,OPTIMAL_SOLUTION,37,107.12,545004
31,OPTIMAL_SOLUTION,38,0.939,10013
32,OPTIMAL_SOLUTION,39,168.773,1231303
33,OPTIMAL_SOLUTION,40,0.625,4862
34,SATISFIED,40,299.686,2221153
35,SATISFIED,40,299.676,1898411
36,SATISFIED,40,299.6,1628892
37,SATISFIED,60,299.563,1422635
38,SATISFIED,60,299.655,1547434
39,SATISFIED,60,299.654,1585893
40,SATISFIED,92,299.566,626027
