N. Instance,Solution Status,Height,Time,N. Failures
1,OPTIMAL_SOLUTION,8,0.005,0
2,OPTIMAL_SOLUTION,9,0.005,4
3,OPTIMAL_SOLUTION,10,0.006,5
4,OPTIMAL_SOLUTION,11,0.005,6
5,OPTIMAL_SOLUTION,12,0.008,133
6,OPTIMAL_SOLUTION,13,0.009,9
7,OPTIMAL_SOLUTION,14,0.007,16
8,OPTIMAL_SOLUTION,15,0.016,48
9,OPTIMAL_SOLUTION,16,0.019,229
10,OPTIMAL_SOLUTION,17,0.055,970
11,OPTIMAL_SOLUTION,18,0.37,6211
12,OPTIMAL_SOLUTION,19,0.063,833
13,OPTIMAL_SOLUTION,20,0.053,564
14,OPTIMAL_SOLUTION,21,0.104,1458
15,OPTIMAL_SOLUTION,22,0.084,557
16,OPTIMAL_SOLUTION,23,0.35,4998
17,OPTIMAL_SOLUTION,24,0.269,3412
18,OPTIMAL_SOLUTION,25,0.184,1220
19,OPTIMAL_SOLUTION,26,0.41,3452
20,OPTIMAL_SOLUTION,27,0.696,8229
21,OPTIMAL_SOLUTION,28,0.622,5962
22,OPTIMAL_SOLUTION,29,17.251,170205
23,OPTIMAL_SOLUTION,30,0.871,10989
24,OPTIMAL_SOLUTION,31,0.21,1468
25,OPTIMAL_SOLUTION,32,26.097,230364
26,OPTIMAL_SOLUTION,33,2.848,20350
27,OPTIMAL_SOLUTION,34,0.535,4248
28,OPTIMAL_SOLUTION,35,0.422,2897
29,OPTIMAL_SOLUTION,36,1.127,10040
30,OPTIMAL_SOLUTION,37,6.821,60037
31,OPTIMAL_SOLUTION,38,0.281,2980
32,OPTIMAL_SOLUTION,39,20.174,117704
33,OPTIMAL_SOLUTION,40,0.469,3478
34,SATISFIED,40,299.679,2597123
35,SATISFIED,40,299.675,2300120
36,SATISFIED,40,299.663,2659756
37,SATISFIED,60,299.681,1790726
38,SATISFIED,60,299.674,1857734
39,SATISFIED,60,299.663,1845001
40,SATISFIED,92,299.578,776741
