N. Instance,Solution Status,Height,Time,N. Failures
1,OPTIMAL_SOLUTION,8,0.016,4
2,OPTIMAL_SOLUTION,9,0.009,7
3,OPTIMAL_SOLUTION,10,0.008,13
4,OPTIMAL_SOLUTION,11,0.009,6
5,OPTIMAL_SOLUTION,12,0.021,285
6,OPTIMAL_SOLUTION,13,0.012,7
7,OPTIMAL_SOLUTION,14,0.012,1
8,OPTIMAL_SOLUTION,15,0.019,18
9,OPTIMAL_SOLUTION,16,0.02,189
10,OPTIMAL_SOLUTION,17,0.019,59
11,OPTIMAL_SOLUTION,18,0.186,1872
12,OPTIMAL_SOLUTION,19,0.176,2179
13,OPTIMAL_SOLUTION,20,0.224,3704
14,OPTIMAL_SOLUTION,21,0.214,2498
15,OPTIMAL_SOLUTION,22,0.144,821
16,OPTIMAL_SOLUTION,23,0.831,8412
17,OPTIMAL_SOLUTION,24,0.036,40
18,OPTIMAL_SOLUTION,25,0.537,4992
19,OPTIMAL_SOLUTION,26,24.665,211265
20,OPTIMAL_SOLUTION,27,6.42,64087
21,OPTIMAL_SOLUTION,28,2.909,29565
22,OPTIMAL_SOLUTION,29,6.191,46129
23,OPTIMAL_SOLUTION,30,0.442,2736
24,OPTIMAL_SOLUTION,31,0.538,4433
25,OPTIMAL_SOLUTION,32,42.27,256299
26,OPTIMAL_SOLUTION,33,74.221,607111
27,OPTIMAL_SOLUTION,34,1.267,11421
28,OPTIMAL_SOLUTION,35,1.329,11660
29,OPTIMAL_SOLUTION,36,1.736,11135
30,OPTIMAL_SOLUTION,37,181.549,878910
31,OPTIMAL_SOLUTION,38,0.356,2040
32,OPTIMAL_SOLUTION,39,33.858,198209
33,OPTIMAL_SOLUTION,40,1.488,9101
34,SATISFIED,40,299.519,1669265
35,SATISFIED,40,299.665,1865859
36,SATISFIED,40,299.688,1757184
37,SATISFIED,60,299.68,1645142
38,SATISFIED,60,299.691,1637801
39,SATISFIED,60,299.655,1404691
40,SATISFIED,92,299.527,641957
