N. Instance,Solution Status,Height,Time,N. Failures
1,OPTIMAL_SOLUTION,8,0.008,4
2,OPTIMAL_SOLUTION,9,0.011,7
3,OPTIMAL_SOLUTION,10,0.01,13
4,OPTIMAL_SOLUTION,11,0.012,6
5,OPTIMAL_SOLUTION,12,0.041,285
6,OPTIMAL_SOLUTION,13,0.023,7
7,OPTIMAL_SOLUTION,14,0.014,1
8,OPTIMAL_SOLUTION,15,0.018,18
9,OPTIMAL_SOLUTION,16,0.026,189
10,OPTIMAL_SOLUTION,17,0.025,59
11,OPTIMAL_SOLUTION,18,0.3,1872
12,OPTIMAL_SOLUTION,19,0.284,2179
13,OPTIMAL_SOLUTION,20,0.347,3704
14,OPTIMAL_SOLUTION,21,0.337,2498
15,OPTIMAL_SOLUTION,22,0.209,821
16,OPTIMAL_SOLUTION,23,1.389,8412
17,OPTIMAL_SOLUTION,24,0.048,40
18,OPTIMAL_SOLUTION,25,0.708,4992
19,OPTIMAL_SOLUTION,26,32.588,211265
20,OPTIMAL_SOLUTION,27,8.693,64087
21,OPTIMAL_SOLUTION,28,4.026,29565
22,OPTIMAL_SOLUTION,29,7.146,46129
23,OPTIMAL_SOLUTION,30,0.532,2736
24,OPTIMAL_SOLUTION,31,0.675,4433
25,OPTIMAL_SOLUTION,32,52.07,256299
26,OPTIMAL_SOLUTION,33,92.57,607111
27,OPTIMAL_SOLUTION,34,1.599,11421
28,OPTIMAL_SOLUTION,35,1.677,11660
29,OPTIMAL_SOLUTION,36,2.089,11135
30,OPTIMAL_SOLUTION,37,223.584,878910
31,OPTIMAL_SOLUTION,38,0.501,2040
32,OPTIMAL_SOLUTION,39,41.283,198209
33,OPTIMAL_SOLUTION,40,1.557,9101
34,SATISFIED,40,299.575,1489187
35,SATISFIED,40,299.598,1493168
36,SATISFIED,40,299.599,1285806
37,SATISFIED,60,299.586,1159373
38,SATISFIED,60,299.626,1191291
39,SATISFIED,60,299.583,1162077
40,SATISFIED,92,299.54,492608
