N. Instance,Solution Status,Height,Time,N. Failures
1,OPTIMAL_SOLUTION,8,0.006,0
2,OPTIMAL_SOLUTION,9,0.007,4
3,OPTIMAL_SOLUTION,10,0.007,5
4,OPTIMAL_SOLUTION,11,0.009,10
5,OPTIMAL_SOLUTION,12,0.03,269
6,OPTIMAL_SOLUTION,13,0.018,11
7,OPTIMAL_SOLUTION,14,0.016,21
8,OPTIMAL_SOLUTION,15,0.018,48
9,OPTIMAL_SOLUTION,16,0.037,288
10,OPTIMAL_SOLUTION,17,0.084,924
11,OPTIMAL_SOLUTION,18,0.2,1839
12,OPTIMAL_SOLUTION,19,0.109,829
13,OPTIMAL_SOLUTION,20,0.102,807
14,OPTIMAL_SOLUTION,21,0.192,1546
15,OPTIMAL_SOLUTION,22,0.23,1817
16,OPTIMAL_SOLUTION,23,0.517,3616
17,OPTIMAL_SOLUTION,24,0.461,3868
18,OPTIMAL_SOLUTION,25,0.53,3673
19,OPTIMAL_SOLUTION,26,1.427,11612
20,OPTIMAL_SOLUTION,27,1.366,11405
21,OPTIMAL_SOLUTION,28,0.826,6048
22,OPTIMAL_SOLUTION,29,11.074,78427
23,OPTIMAL_SOLUTION,30,1.08,9890
24,OPTIMAL_SOLUTION,31,0.403,2549
25,OPTIMAL_SOLUTION,32,14.14,56642
26,OPTIMAL_SOLUTION,33,96.343,659845
27,OPTIMAL_SOLUTION,34,0.748,4207
28,OPTIMAL_SOLUTION,35,2.043,16346
29,OPTIMAL_SOLUTION,36,1.894,14451
30,OPTIMAL_SOLUTION,37,129.691,545004
31,OPTIMAL_SOLUTION,38,1.076,10013
32,OPTIMAL_SOLUTION,39,202.571,1231303
33,OPTIMAL_SOLUTION,40,0.704,4862
34,SATISFIED,40,299.604,1845111
35,SATISFIED,40,299.624,1405664
36,SATISFIED,40,299.606,1320813
37,SATISFIED,60,299.579,1227343
38,SATISFIED,60,299.541,1233596
39,SATISFIED,60,299.608,1328178
40,SATISFIED,92,299.55,594942
