N. Instance,Solution Status,Height,Time,N. Failures
1,OPTIMAL_SOLUTION,8,0.034,1
2,OPTIMAL_SOLUTION,9,0.004,5
3,OPTIMAL_SOLUTION,10,0.004,9
4,OPTIMAL_SOLUTION,11,0.004,16
5,OPTIMAL_SOLUTION,12,0.006,300
6,OPTIMAL_SOLUTION,13,0.005,44
7,OPTIMAL_SOLUTION,14,0.005,24
8,OPTIMAL_SOLUTION,15,0.004,102
9,OPTIMAL_SOLUTION,16,0.099,9122
10,OPTIMAL_SOLUTION,17,0.143,13688
11,OPTIMAL_SOLUTION,18,2.895,269265
12,OPTIMAL_SOLUTION,19,0.392,26846
13,OPTIMAL_SOLUTION,20,69.827,5580742
14,UNKNOWN,,,
15,OPTIMAL_SOLUTION,22,0.189,11863
16,UNKNOWN,,,
17,UNKNOWN,,,
18,UNKNOWN,,,
19,UNKNOWN,,,
20,UNKNOWN,,,
21,UNKNOWN,,,
22,UNKNOWN,,,
23,UNKNOWN,,,
24,OPTIMAL_SOLUTION,31,240.568,14229260
25,UNKNOWN,,,
26,UNKNOWN,,,
27,UNKNOWN,,,
28,UNKNOWN,,,
29,UNKNOWN,,,
30,UNKNOWN,,,
31,UNKNOWN,,,
32,UNKNOWN,,,
33,UNKNOWN,,,
34,OPTIMAL_SOLUTION,40,0.006,53
35,OPTIMAL_SOLUTION,40,0.007,60
36,OPTIMAL_SOLUTION,40,0.007,77
37,OPTIMAL_SOLUTION,60,0.006,41
38,OPTIMAL_SOLUTION,60,0.006,55
39,OPTIMAL_SOLUTION,60,0.006,46
40,UNKNOWN,,,
