N. Instance,Solution Status,Height,Time,N. Failures
1,OPTIMAL_SOLUTION,8,0.011,1
2,OPTIMAL_SOLUTION,9,0.004,7
3,OPTIMAL_SOLUTION,10,0.005,13
4,OPTIMAL_SOLUTION,11,0.005,22
5,OPTIMAL_SOLUTION,12,0.015,1073
6,OPTIMAL_SOLUTION,13,0.006,154
7,OPTIMAL_SOLUTION,14,0.005,2
8,OPTIMAL_SOLUTION,15,0.005,16
9,OPTIMAL_SOLUTION,16,0.006,53
10,OPTIMAL_SOLUTION,17,0.007,47
11,UNKNOWN,,,
12,OPTIMAL_SOLUTION,19,0.034,1396
13,OPTIMAL_SOLUTION,20,0.896,51194
14,OPTIMAL_SOLUTION,21,0.708,37733
15,OPTIMAL_SOLUTION,22,0.007,5
16,OPTIMAL_SOLUTION,23,32.948,1635770
17,OPTIMAL_SOLUTION,24,0.085,3948
18,OPTIMAL_SOLUTION,25,3.149,138914
19,UNKNOWN,,,
20,OPTIMAL_SOLUTION,27,17.079,613914
21,OPTIMAL_SOLUTION,28,219.797,8356447
22,UNKNOWN,,,
23,OPTIMAL_SOLUTION,30,14.239,625468
24,OPTIMAL_SOLUTION,31,23.69,1262333
25,UNKNOWN,,,
26,UNKNOWN,,,
27,OPTIMAL_SOLUTION,34,229.032,10996165
28,OPTIMAL_SOLUTION,35,3.02,129972
29,UNKNOWN,,,
30,UNKNOWN,,,
31,UNKNOWN,,,
32,UNKNOWN,,,
33,UNKNOWN,,,
34,UNKNOWN,,,
35,OPTIMAL_SOLUTION,40,18.627,598216
36,OPTIMAL_SOLUTION,40,5.605,201316
37,UNKNOWN,,,
38,UNKNOWN,,,
39,UNKNOWN,,,
40,UNKNOWN,,,
