N. Instance,Solution Status,Height,Time,N. Failures
1,OPTIMAL_SOLUTION,8,0.024,1
2,OPTIMAL_SOLUTION,9,0.009,7
3,OPTIMAL_SOLUTION,10,0.005,13
4,OPTIMAL_SOLUTION,11,0.004,22
5,OPTIMAL_SOLUTION,12,0.019,1073
6,OPTIMAL_SOLUTION,13,0.006,154
7,OPTIMAL_SOLUTION,14,0.005,2
8,OPTIMAL_SOLUTION,15,0.005,16
9,OPTIMAL_SOLUTION,16,0.005,53
10,OPTIMAL_SOLUTION,17,0.005,47
11,UNKNOWN,,,
12,OPTIMAL_SOLUTION,19,0.027,1396
13,OPTIMAL_SOLUTION,20,0.765,51194
14,OPTIMAL_SOLUTION,21,0.772,37733
15,OPTIMAL_SOLUTION,22,0.006,5
16,OPTIMAL_SOLUTION,23,28.172,1635770
17,OPTIMAL_SOLUTION,24,0.094,3948
18,OPTIMAL_SOLUTION,25,2.772,138914
19,UNKNOWN,,,
20,OPTIMAL_SOLUTION,27,14.626,613914
21,OPTIMAL_SOLUTION,28,180.473,8356447
22,UNKNOWN,,,
23,OPTIMAL_SOLUTION,30,11.607,625468
24,OPTIMAL_SOLUTION,31,21.263,1262333
25,UNKNOWN,,,
26,UNKNOWN,,,
27,OPTIMAL_SOLUTION,34,238.232,10996165
28,OPTIMAL_SOLUTION,35,3.034,129972
29,UNKNOWN,,,
30,UNKNOWN,,,
31,UNKNOWN,,,
32,UNKNOWN,,,
33,UNKNOWN,,,
34,UNKNOWN,,,
35,OPTIMAL_SOLUTION,40,14.282,598216
36,OPTIMAL_SOLUTION,40,4.301,201316
37,UNKNOWN,,,
38,UNKNOWN,,,
39,UNKNOWN,,,
40,UNKNOWN,,,
