N. Instance,Solution Status,Height,Time,N. Failures
1,OPTIMAL_SOLUTION,8,0.013,1
2,OPTIMAL_SOLUTION,9,0.004,7
3,OPTIMAL_SOLUTION,10,0.054,13
4,OPTIMAL_SOLUTION,11,0.005,22
5,OPTIMAL_SOLUTION,12,0.027,1073
6,OPTIMAL_SOLUTION,13,0.008,154
7,OPTIMAL_SOLUTION,14,0.005,2
8,OPTIMAL_SOLUTION,15,0.008,16
9,OPTIMAL_SOLUTION,16,0.007,53
10,OPTIMAL_SOLUTION,17,0.009,47
11,UNKNOWN,,,
12,OPTIMAL_SOLUTION,19,0.031,1396
13,OPTIMAL_SOLUTION,20,1.023,51194
14,OPTIMAL_SOLUTION,21,0.717,37733
15,OPTIMAL_SOLUTION,22,0.007,5
16,OPTIMAL_SOLUTION,23,35.072,1635770
17,OPTIMAL_SOLUTION,24,0.1,3948
18,OPTIMAL_SOLUTION,25,3.376,138914
19,UNKNOWN,,,
20,OPTIMAL_SOLUTION,27,17.6,613914
21,OPTIMAL_SOLUTION,28,223.426,8356447
22,UNKNOWN,,,
23,OPTIMAL_SOLUTION,30,14.38,625468
24,OPTIMAL_SOLUTION,31,23.594,1262333
25,UNKNOWN,,,
26,UNKNOWN,,,
27,OPTIMAL_SOLUTION,34,227.7,10996165
28,OPTIMAL_SOLUTION,35,3.056,129972
29,UNKNOWN,,,
30,UNKNOWN,,,
31,UNKNOWN,,,
32,UNKNOWN,,,
33,UNKNOWN,,,
34,UNKNOWN,,,
35,OPTIMAL_SOLUTION,40,14.378,598216
36,OPTIMAL_SOLUTION,40,4.283,201316
37,UNKNOWN,,,
38,UNKNOWN,,,
39,UNKNOWN,,,
40,UNKNOWN,,,
