N. Instance,Solution Status,Height,Time,N. Failures
1,OPTIMAL_SOLUTION,8,0.01,1
2,OPTIMAL_SOLUTION,9,0.005,7
3,OPTIMAL_SOLUTION,10,0.006,13
4,OPTIMAL_SOLUTION,11,0.007,22
5,OPTIMAL_SOLUTION,12,0.024,1073
6,OPTIMAL_SOLUTION,13,0.008,154
7,OPTIMAL_SOLUTION,14,0.007,2
8,OPTIMAL_SOLUTION,15,0.007,16
9,OPTIMAL_SOLUTION,16,0.01,53
10,OPTIMAL_SOLUTION,17,0.007,47
11,UNKNOWN,,,
12,OPTIMAL_SOLUTION,19,0.033,1396
13,OPTIMAL_SOLUTION,20,0.881,51194
14,OPTIMAL_SOLUTION,21,0.696,37733
15,OPTIMAL_SOLUTION,22,0.014,5
16,OPTIMAL_SOLUTION,23,36.492,1635770
17,OPTIMAL_SOLUTION,24,0.092,3948
18,OPTIMAL_SOLUTION,25,3.254,138914
19,UNKNOWN,,,
20,OPTIMAL_SOLUTION,27,18.45,613914
21,OPTIMAL_SOLUTION,28,243.187,8356447
22,UNKNOWN,,,
23,OPTIMAL_SOLUTION,30,15.238,625468
24,OPTIMAL_SOLUTION,31,25.001,1262333
25,UNKNOWN,,,
26,UNKNOWN,,,
27,OPTIMAL_SOLUTION,34,262.513,10996165
28,OPTIMAL_SOLUTION,35,3.076,129972
29,UNKNOWN,,,
30,UNKNOWN,,,
31,UNKNOWN,,,
32,UNKNOWN,,,
33,UNKNOWN,,,
34,UNKNOWN,,,
35,OPTIMAL_SOLUTION,40,14.622,598216
36,OPTIMAL_SOLUTION,40,4.443,201316
37,UNKNOWN,,,
38,UNKNOWN,,,
39,UNKNOWN,,,
40,UNKNOWN,,,
