N. Instance,Solution Status,Height,Time,N. Failures
1,OPTIMAL_SOLUTION,8,0.038,1
2,OPTIMAL_SOLUTION,9,0.008,7
3,OPTIMAL_SOLUTION,10,0.006,13
4,OPTIMAL_SOLUTION,11,0.007,22
5,OPTIMAL_SOLUTION,12,0.017,1073
6,OPTIMAL_SOLUTION,13,0.008,154
7,OPTIMAL_SOLUTION,14,0.006,2
8,OPTIMAL_SOLUTION,15,0.007,16
9,OPTIMAL_SOLUTION,16,0.008,53
10,OPTIMAL_SOLUTION,17,0.006,47
11,UNKNOWN,,,
12,OPTIMAL_SOLUTION,19,0.03,1396
13,OPTIMAL_SOLUTION,20,0.757,51194
14,OPTIMAL_SOLUTION,21,0.591,37733
15,OPTIMAL_SOLUTION,22,0.005,5
16,OPTIMAL_SOLUTION,23,28.448,1635770
17,OPTIMAL_SOLUTION,24,0.077,3948
18,OPTIMAL_SOLUTION,25,2.836,138914
19,UNKNOWN,,,
20,OPTIMAL_SOLUTION,27,16.476,613914
21,OPTIMAL_SOLUTION,28,183.787,8356447
22,UNKNOWN,,,
23,OPTIMAL_SOLUTION,30,12.1,625468
24,OPTIMAL_SOLUTION,31,21.844,1262333
25,UNKNOWN,,,
26,UNKNOWN,,,
27,OPTIMAL_SOLUTION,34,237.914,10996165
28,OPTIMAL_SOLUTION,35,3.073,129972
29,UNKNOWN,,,
30,UNKNOWN,,,
31,UNKNOWN,,,
32,UNKNOWN,,,
33,UNKNOWN,,,
34,UNKNOWN,,,
35,OPTIMAL_SOLUTION,40,16.029,598216
36,OPTIMAL_SOLUTION,40,4.831,201316
37,UNKNOWN,,,
38,UNKNOWN,,,
39,UNKNOWN,,,
40,UNKNOWN,,,
