N. Instance,Solution Status,Height,Time,N. Failures
1,OPTIMAL_SOLUTION,8,0.013,1
2,OPTIMAL_SOLUTION,9,0.008,7
3,OPTIMAL_SOLUTION,10,0.014,13
4,OPTIMAL_SOLUTION,11,0.01,22
5,OPTIMAL_SOLUTION,12,0.06,1073
6,OPTIMAL_SOLUTION,13,0.024,154
7,OPTIMAL_SOLUTION,14,0.014,2
8,OPTIMAL_SOLUTION,15,0.016,16
9,OPTIMAL_SOLUTION,16,0.013,53
10,OPTIMAL_SOLUTION,17,0.014,47
11,UNKNOWN,,,
12,OPTIMAL_SOLUTION,19,0.097,1396
13,OPTIMAL_SOLUTION,20,1.047,51194
14,OPTIMAL_SOLUTION,21,1.148,37733
15,OPTIMAL_SOLUTION,22,0.018,5
16,OPTIMAL_SOLUTION,23,67.541,1635770
17,OPTIMAL_SOLUTION,24,0.155,3948
18,OPTIMAL_SOLUTION,25,3.796,138914
19,UNKNOWN,,,
20,OPTIMAL_SOLUTION,27,14.666,613914
21,OPTIMAL_SOLUTION,28,189.066,8356447
22,UNKNOWN,,,
23,OPTIMAL_SOLUTION,30,12.618,625468
24,OPTIMAL_SOLUTION,31,21.047,1262333
25,UNKNOWN,,,
26,UNKNOWN,,,
27,OPTIMAL_SOLUTION,34,236.284,10996165
28,OPTIMAL_SOLUTION,35,4.154,129972
29,UNKNOWN,,,
30,UNKNOWN,,,
31,UNKNOWN,,,
32,UNKNOWN,,,
33,UNKNOWN,,,
34,UNKNOWN,,,
35,OPTIMAL_SOLUTION,40,15.698,598216
36,OPTIMAL_SOLUTION,40,4.476,201316
37,UNKNOWN,,,
38,UNKNOWN,,,
39,UNKNOWN,,,
40,UNKNOWN,,,
