N. Instance,Solution Status,Height,Time,N. Failures
1,OPTIMAL_SOLUTION,8,0.009,0
2,OPTIMAL_SOLUTION,9,0.012,25
3,OPTIMAL_SOLUTION,10,0.013,18
4,OPTIMAL_SOLUTION,11,0.044,780
5,OPTIMAL_SOLUTION,12,0.06,950
6,OPTIMAL_SOLUTION,13,0.044,568
7,OPTIMAL_SOLUTION,14,0.344,6246
8,OPTIMAL_SOLUTION,15,0.522,8668
9,OPTIMAL_SOLUTION,16,1.151,18922
10,OPTIMAL_SOLUTION,17,2.359,31807
11,OPTIMAL_SOLUTION,18,159.666,1147338
12,OPTIMAL_SOLUTION,19,7.927,81320
13,OPTIMAL_SOLUTION,20,39.869,483402
14,OPTIMAL_SOLUTION,21,42.336,478486
15,OPTIMAL_SOLUTION,22,66.031,460759
16,UNKNOWN,,,
17,UNKNOWN,,,
18,UNKNOWN,,,
19,UNKNOWN,,,
20,UNKNOWN,,,
21,UNKNOWN,,,
22,UNKNOWN,,,
23,UNKNOWN,,,
24,UNKNOWN,,,
25,UNKNOWN,,,
26,UNKNOWN,,,
27,UNKNOWN,,,
28,UNKNOWN,,,
29,UNKNOWN,,,
30,UNKNOWN,,,
31,UNKNOWN,,,
32,UNKNOWN,,,
33,UNKNOWN,,,
34,UNKNOWN,,,
35,UNKNOWN,,,
36,UNKNOWN,,,
37,UNKNOWN,,,
38,UNKNOWN,,,
39,UNKNOWN,,,
40,UNKNOWN,,,
