N. Instance,Solution Status,Height,Time,N. Failures
1,OPTIMAL_SOLUTION,8,0.016,0
2,OPTIMAL_SOLUTION,9,0.011,46
3,OPTIMAL_SOLUTION,10,0.009,11
4,OPTIMAL_SOLUTION,11,0.038,1162
5,OPTIMAL_SOLUTION,12,0.03,678
6,OPTIMAL_SOLUTION,13,0.041,895
7,OPTIMAL_SOLUTION,14,0.283,8301
8,OPTIMAL_SOLUTION,15,0.432,12026
9,OPTIMAL_SOLUTION,16,1.332,29509
10,OPTIMAL_SOLUTION,17,3.656,59827
11,OPTIMAL_SOLUTION,18,292.743,2550523
12,OPTIMAL_SOLUTION,19,6.545,86649
13,OPTIMAL_SOLUTION,20,29.526,462582
14,OPTIMAL_SOLUTION,21,48.846,667345
15,OPTIMAL_SOLUTION,22,101.37,934949
16,UNKNOWN,,,
17,UNKNOWN,,,
18,UNKNOWN,,,
19,UNKNOWN,,,
20,UNKNOWN,,,
21,UNKNOWN,,,
22,UNKNOWN,,,
23,UNKNOWN,,,
24,UNKNOWN,,,
25,UNKNOWN,,,
26,UNKNOWN,,,
27,UNKNOWN,,,
28,UNKNOWN,,,
29,UNKNOWN,,,
30,UNKNOWN,,,
31,UNKNOWN,,,
32,UNKNOWN,,,
33,UNKNOWN,,,
34,UNKNOWN,,,
35,UNKNOWN,,,
36,UNKNOWN,,,
37,UNKNOWN,,,
38,UNKNOWN,,,
39,UNKNOWN,,,
40,UNKNOWN,,,
