N. Instance,Solution Status,Height,Time,N. Failures
1,OPTIMAL_SOLUTION,8,0.013,0
2,OPTIMAL_SOLUTION,9,0.016,33
3,OPTIMAL_SOLUTION,10,0.019,24
4,OPTIMAL_SOLUTION,11,0.046,413
5,OPTIMAL_SOLUTION,12,0.073,967
6,OPTIMAL_SOLUTION,13,0.211,2521
7,OPTIMAL_SOLUTION,14,0.201,2725
8,OPTIMAL_SOLUTION,15,0.442,5489
9,OPTIMAL_SOLUTION,16,0.965,11354
10,OPTIMAL_SOLUTION,17,2.438,22799
11,OPTIMAL_SOLUTION,18,1.201,8295
12,UNKNOWN,,,
13,UNKNOWN,,,
14,OPTIMAL_SOLUTION,21,69.387,564357
15,OPTIMAL_SOLUTION,22,30.959,271768
16,UNKNOWN,,,
17,UNKNOWN,,,
18,UNKNOWN,,,
19,UNKNOWN,,,
20,UNKNOWN,,,
21,UNKNOWN,,,
22,UNKNOWN,,,
23,UNKNOWN,,,
24,UNKNOWN,,,
25,UNKNOWN,,,
26,UNKNOWN,,,
27,UNKNOWN,,,
28,UNKNOWN,,,
29,UNKNOWN,,,
30,UNKNOWN,,,
31,UNKNOWN,,,
32,UNKNOWN,,,
33,UNKNOWN,,,
34,UNKNOWN,,,
35,UNKNOWN,,,
36,UNKNOWN,,,
37,UNKNOWN,,,
38,UNKNOWN,,,
39,UNKNOWN,,,
40,UNKNOWN,,,
