N. Instance,Solution Status,Height,Time,N. Failures
1,OPTIMAL_SOLUTION,8,0.01,0
2,OPTIMAL_SOLUTION,9,0.016,33
3,OPTIMAL_SOLUTION,10,0.018,24
4,OPTIMAL_SOLUTION,11,0.041,304
5,OPTIMAL_SOLUTION,12,0.054,397
6,OPTIMAL_SOLUTION,13,0.059,366
7,OPTIMAL_SOLUTION,14,0.074,586
8,OPTIMAL_SOLUTION,15,0.089,444
9,OPTIMAL_SOLUTION,16,0.232,1807
10,OPTIMAL_SOLUTION,17,0.258,1370
11,OPTIMAL_SOLUTION,18,0.901,5284
12,OPTIMAL_SOLUTION,19,0.496,2409
13,OPTIMAL_SOLUTION,20,1.005,6884
14,OPTIMAL_SOLUTION,21,0.615,3702
15,OPTIMAL_SOLUTION,22,3.057,17598
16,OPTIMAL_SOLUTION,23,8.831,45772
17,OPTIMAL_SOLUTION,24,6.617,29343
18,OPTIMAL_SOLUTION,25,10.761,49078
19,OPTIMAL_SOLUTION,26,29.083,110935
20,OPTIMAL_SOLUTION,27,6.223,26249
21,OPTIMAL_SOLUTION,28,5.857,25654
22,OPTIMAL_SOLUTION,29,28.49,108378
23,OPTIMAL_SOLUTION,30,7.825,31278
24,OPTIMAL_SOLUTION,31,2.56,13129
25,SATISFIED,33,299.434,965424
26,OPTIMAL_SOLUTION,33,64.253,239900
27,OPTIMAL_SOLUTION,34,4.674,19750
28,OPTIMAL_SOLUTION,35,13.122,58625
29,OPTIMAL_SOLUTION,36,18.804,69667
30,SATISFIED,38,299.485,1025886
31,OPTIMAL_SOLUTION,38,0.933,3855
32,SATISFIED,40,299.476,1043809
33,OPTIMAL_SOLUTION,40,1.01,3347
34,SATISFIED,40,299.499,1066383
35,SATISFIED,40,299.522,1136654
36,SATISFIED,40,299.509,1147909
37,SATISFIED,61,299.498,906904
38,SATISFIED,60,299.476,960034
39,SATISFIED,61,299.5,998589
40,SATISFIED,92,298.529,331797
