N. Instance,Solution Status,Height,Time,N. Failures
1,OPTIMAL_SOLUTION,8,0.016,0
2,OPTIMAL_SOLUTION,9,0.019,25
3,OPTIMAL_SOLUTION,10,0.022,18
4,OPTIMAL_SOLUTION,11,0.047,304
5,OPTIMAL_SOLUTION,12,0.092,552
6,OPTIMAL_SOLUTION,13,0.09,422
7,OPTIMAL_SOLUTION,14,0.099,593
8,OPTIMAL_SOLUTION,15,0.133,445
9,OPTIMAL_SOLUTION,16,0.195,1303
10,OPTIMAL_SOLUTION,17,0.241,1236
11,OPTIMAL_SOLUTION,18,1.28,6061
12,OPTIMAL_SOLUTION,19,0.661,3226
13,OPTIMAL_SOLUTION,20,1.572,8973
14,OPTIMAL_SOLUTION,21,3.235,12028
15,OPTIMAL_SOLUTION,22,2.998,16133
16,OPTIMAL_SOLUTION,23,10.112,38853
17,OPTIMAL_SOLUTION,24,5.563,23651
18,OPTIMAL_SOLUTION,25,6.292,20929
19,OPTIMAL_SOLUTION,26,62.541,175294
20,OPTIMAL_SOLUTION,27,30.937,93105
21,SATISFIED,29,299.4,605796
22,SATISFIED,30,299.374,637972
23,OPTIMAL_SOLUTION,30,19.038,65369
24,OPTIMAL_SOLUTION,31,25.499,104476
25,SATISFIED,33,299.206,683942
26,OPTIMAL_SOLUTION,33,123.441,306295
27,OPTIMAL_SOLUTION,34,33.342,91030
28,OPTIMAL_SOLUTION,35,98.288,236118
29,OPTIMAL_SOLUTION,36,9.607,22644
30,SATISFIED,38,299.183,590153
31,OPTIMAL_SOLUTION,38,6.323,17171
32,SATISFIED,40,299.472,1098276
33,OPTIMAL_SOLUTION,40,4.641,22761
34,SATISFIED,40,299.508,1031203
35,SATISFIED,40,299.521,1131678
36,SATISFIED,40,299.501,1229682
37,SATISFIED,61,299.483,900697
38,SATISFIED,61,299.489,949202
39,SATISFIED,61,299.486,944901
40,SATISFIED,92,298.535,309566
