N. Instance,Solution Status,Height,Time,N. Failures
1,OPTIMAL_SOLUTION,8,0.012,0
2,OPTIMAL_SOLUTION,9,0.016,33
3,OPTIMAL_SOLUTION,10,0.017,24
4,OPTIMAL_SOLUTION,11,0.034,304
5,OPTIMAL_SOLUTION,12,0.067,397
6,OPTIMAL_SOLUTION,13,0.053,366
7,OPTIMAL_SOLUTION,14,0.072,586
8,OPTIMAL_SOLUTION,15,0.141,444
9,OPTIMAL_SOLUTION,16,0.264,1807
10,OPTIMAL_SOLUTION,17,0.251,1370
11,OPTIMAL_SOLUTION,18,1.066,5284
12,OPTIMAL_SOLUTION,19,0.509,2409
13,OPTIMAL_SOLUTION,20,0.953,6884
14,OPTIMAL_SOLUTION,21,0.597,3702
15,OPTIMAL_SOLUTION,22,3.122,17598
16,OPTIMAL_SOLUTION,23,12.192,45772
17,OPTIMAL_SOLUTION,24,7.184,29343
18,OPTIMAL_SOLUTION,25,11.062,49078
19,OPTIMAL_SOLUTION,26,27.86,110935
20,OPTIMAL_SOLUTION,27,6.058,26249
21,OPTIMAL_SOLUTION,28,5.89,25654
22,OPTIMAL_SOLUTION,29,27.765,108378
23,OPTIMAL_SOLUTION,30,7.005,31278
24,OPTIMAL_SOLUTION,31,2.537,13129
25,SATISFIED,33,299.427,941422
26,OPTIMAL_SOLUTION,33,62.467,239900
27,OPTIMAL_SOLUTION,34,4.462,19750
28,OPTIMAL_SOLUTION,35,12.592,58625
29,OPTIMAL_SOLUTION,36,18.48,69667
30,SATISFIED,38,299.516,994799
31,OPTIMAL_SOLUTION,38,0.894,3855
32,SATISFIED,40,299.403,1028462
33,OPTIMAL_SOLUTION,40,0.977,3347
34,SATISFIED,40,299.443,1155765
35,SATISFIED,40,299.51,1069045
36,SATISFIED,40,299.458,1106204
37,SATISFIED,61,299.474,821911
38,SATISFIED,61,299.471,781916
39,SATISFIED,61,299.48,936676
40,SATISFIED,92,298.499,302418
