N. Instance,Solution Status,Height,Time,N. Failures
1,OPTIMAL_SOLUTION,8,0.009,0
2,OPTIMAL_SOLUTION,9,0.012,25
3,OPTIMAL_SOLUTION,10,0.014,18
4,OPTIMAL_SOLUTION,11,0.028,304
5,OPTIMAL_SOLUTION,12,0.052,552
6,OPTIMAL_SOLUTION,13,0.046,422
7,OPTIMAL_SOLUTION,14,0.066,593
8,OPTIMAL_SOLUTION,15,0.067,445
9,OPTIMAL_SOLUTION,16,0.122,1303
10,OPTIMAL_SOLUTION,17,0.148,1236
11,OPTIMAL_SOLUTION,18,0.756,6061
12,OPTIMAL_SOLUTION,19,0.398,3226
13,OPTIMAL_SOLUTION,20,0.934,8973
14,OPTIMAL_SOLUTION,21,1.447,12028
15,OPTIMAL_SOLUTION,22,1.861,16133
16,OPTIMAL_SOLUTION,23,6.371,38853
17,OPTIMAL_SOLUTION,24,3.583,23651
18,OPTIMAL_SOLUTION,25,3.35,20929
19,OPTIMAL_SOLUTION,26,38.216,175294
20,OPTIMAL_SOLUTION,27,18.455,93105
21,OPTIMAL_SOLUTION,28,279.68,1264202
22,SATISFIED,30,299.615,1439332
23,OPTIMAL_SOLUTION,30,12.111,65369
24,OPTIMAL_SOLUTION,31,16.225,104476
25,SATISFIED,33,299.587,1110213
26,OPTIMAL_SOLUTION,33,65.737,306295
27,OPTIMAL_SOLUTION,34,15.925,91030
28,OPTIMAL_SOLUTION,35,47.369,236118
29,OPTIMAL_SOLUTION,36,4.426,22644
30,SATISFIED,38,299.583,1185282
31,OPTIMAL_SOLUTION,38,2.65,17171
32,SATISFIED,40,299.554,1349514
33,OPTIMAL_SOLUTION,40,3.591,22761
34,SATISFIED,40,299.602,1229865
35,SATISFIED,40,299.595,1372684
36,SATISFIED,40,299.58,1486207
37,SATISFIED,61,299.5,1082753
38,SATISFIED,61,299.574,1142860
39,SATISFIED,61,299.538,1175349
40,SATISFIED,92,298.774,412504
