N. Instance,Solution Status,Height,Time,N. Failures
1,OPTIMAL_SOLUTION,8,0.009,0
2,OPTIMAL_SOLUTION,9,0.014,25
3,OPTIMAL_SOLUTION,10,0.017,18
4,OPTIMAL_SOLUTION,11,0.028,304
5,OPTIMAL_SOLUTION,12,0.05,552
6,OPTIMAL_SOLUTION,13,0.049,422
7,OPTIMAL_SOLUTION,14,0.064,593
8,OPTIMAL_SOLUTION,15,0.065,445
9,OPTIMAL_SOLUTION,16,0.122,1303
10,OPTIMAL_SOLUTION,17,0.158,1236
11,OPTIMAL_SOLUTION,18,0.787,6061
12,OPTIMAL_SOLUTION,19,0.563,3226
13,OPTIMAL_SOLUTION,20,1.033,8973
14,OPTIMAL_SOLUTION,21,1.566,12028
15,OPTIMAL_SOLUTION,22,1.98,16133
16,OPTIMAL_SOLUTION,23,6.577,38853
17,OPTIMAL_SOLUTION,24,3.631,23651
18,OPTIMAL_SOLUTION,25,3.337,20929
19,OPTIMAL_SOLUTION,26,38.424,175294
20,OPTIMAL_SOLUTION,27,19.286,93105
21,OPTIMAL_SOLUTION,28,285.695,1264202
22,SATISFIED,30,299.601,1417524
23,OPTIMAL_SOLUTION,30,12.291,65369
24,OPTIMAL_SOLUTION,31,16.51,104476
25,SATISFIED,33,299.592,1105561
26,OPTIMAL_SOLUTION,33,66.84,306295
27,OPTIMAL_SOLUTION,34,16.119,91030
28,OPTIMAL_SOLUTION,35,47.17,236118
29,OPTIMAL_SOLUTION,36,4.494,22644
30,SATISFIED,38,299.587,1171433
31,OPTIMAL_SOLUTION,38,2.635,17171
32,SATISFIED,40,299.543,1325086
33,OPTIMAL_SOLUTION,40,3.538,22761
34,SATISFIED,40,299.58,1227870
35,SATISFIED,40,299.597,1382413
36,SATISFIED,40,299.554,1369407
37,SATISFIED,61,299.548,979846
38,SATISFIED,61,299.482,1057937
39,SATISFIED,61,299.563,1080817
40,SATISFIED,92,298.621,356979
