N. Instance,Solution Status,Height,Time,N. Failures
1,OPTIMAL_SOLUTION,8,0.009,0
2,OPTIMAL_SOLUTION,9,0.009,46
3,OPTIMAL_SOLUTION,10,0.008,11
4,OPTIMAL_SOLUTION,11,0.017,261
5,OPTIMAL_SOLUTION,12,0.024,321
6,OPTIMAL_SOLUTION,13,0.032,461
7,OPTIMAL_SOLUTION,14,0.065,1284
8,OPTIMAL_SOLUTION,15,0.038,332
9,OPTIMAL_SOLUTION,16,0.037,338
10,OPTIMAL_SOLUTION,17,0.044,378
11,OPTIMAL_SOLUTION,18,0.989,12151
12,OPTIMAL_SOLUTION,19,0.22,2429
13,OPTIMAL_SOLUTION,20,0.292,3548
14,OPTIMAL_SOLUTION,21,0.49,5231
15,OPTIMAL_SOLUTION,22,0.942,10423
16,OPTIMAL_SOLUTION,23,3.13,33962
17,OPTIMAL_SOLUTION,24,0.587,4832
18,OPTIMAL_SOLUTION,25,4.771,37382
19,OPTIMAL_SOLUTION,26,4.252,31929
20,OPTIMAL_SOLUTION,27,9.574,65941
21,OPTIMAL_SOLUTION,28,16.629,103357
22,SATISFIED,30,299.678,1694802
23,OPTIMAL_SOLUTION,30,8.664,76499
24,OPTIMAL_SOLUTION,31,3.439,27417
25,SATISFIED,33,299.682,1343621
26,OPTIMAL_SOLUTION,33,55.729,327371
27,OPTIMAL_SOLUTION,34,16.472,109208
28,OPTIMAL_SOLUTION,35,3.373,22757
29,OPTIMAL_SOLUTION,36,72.747,420157
30,SATISFIED,38,299.661,1510319
31,OPTIMAL_SOLUTION,38,0.64,5026
32,SATISFIED,40,299.633,1715144
33,OPTIMAL_SOLUTION,40,10.779,74013
34,SATISFIED,40,299.69,1513599
35,SATISFIED,40,299.686,1608167
36,SATISFIED,40,299.667,1721337
37,SATISFIED,61,299.658,1330009
38,SATISFIED,61,299.662,1421339
39,SATISFIED,61,299.657,1534814
40,SATISFIED,92,299.569,556895
