N. Instance,Solution Status,Height,Time,N. Failures
1,OPTIMAL_SOLUTION,8,0.013,0
2,OPTIMAL_SOLUTION,9,0.022,33
3,OPTIMAL_SOLUTION,10,0.036,24
4,OPTIMAL_SOLUTION,11,0.04,304
5,OPTIMAL_SOLUTION,12,0.055,397
6,OPTIMAL_SOLUTION,13,0.084,366
7,OPTIMAL_SOLUTION,14,0.107,586
8,OPTIMAL_SOLUTION,15,0.096,444
9,OPTIMAL_SOLUTION,16,0.239,1807
10,OPTIMAL_SOLUTION,17,0.32,1370
11,OPTIMAL_SOLUTION,18,1.318,5284
12,OPTIMAL_SOLUTION,19,0.594,2409
13,OPTIMAL_SOLUTION,20,1.542,6884
14,OPTIMAL_SOLUTION,21,0.956,3702
15,OPTIMAL_SOLUTION,22,4.707,17598
16,OPTIMAL_SOLUTION,23,15.422,45772
17,OPTIMAL_SOLUTION,24,8.733,29343
18,OPTIMAL_SOLUTION,25,10.683,49078
19,OPTIMAL_SOLUTION,26,26.977,110935
20,OPTIMAL_SOLUTION,27,6.682,26249
21,OPTIMAL_SOLUTION,28,6.094,25654
22,OPTIMAL_SOLUTION,29,27.69,108378
23,OPTIMAL_SOLUTION,30,7.506,31278
24,OPTIMAL_SOLUTION,31,2.654,13129
25,SATISFIED,33,299.506,900914
26,OPTIMAL_SOLUTION,33,77.341,239900
27,OPTIMAL_SOLUTION,34,4.8,19750
28,OPTIMAL_SOLUTION,35,13.871,58625
29,OPTIMAL_SOLUTION,36,20.075,69667
30,SATISFIED,38,299.521,1002427
31,OPTIMAL_SOLUTION,38,0.897,3855
32,SATISFIED,40,299.498,1023695
33,OPTIMAL_SOLUTION,40,1.037,3347
34,SATISFIED,40,299.484,1025793
35,SATISFIED,40,299.488,1123465
36,SATISFIED,40,299.542,1136444
37,SATISFIED,61,299.491,904251
38,SATISFIED,60,299.404,958180
39,SATISFIED,61,299.444,997005
40,SATISFIED,92,298.537,337996
