N. Instance,Solution Status,Height,Time,N. Failures
1,OPTIMAL_SOLUTION,8,0.012,0
2,OPTIMAL_SOLUTION,9,0.016,33
3,OPTIMAL_SOLUTION,10,0.019,24
4,OPTIMAL_SOLUTION,11,0.051,304
5,OPTIMAL_SOLUTION,12,0.051,397
6,OPTIMAL_SOLUTION,13,0.075,366
7,OPTIMAL_SOLUTION,14,0.075,586
8,OPTIMAL_SOLUTION,15,0.089,444
9,OPTIMAL_SOLUTION,16,0.269,1807
10,OPTIMAL_SOLUTION,17,0.22,1370
11,OPTIMAL_SOLUTION,18,0.829,5284
12,OPTIMAL_SOLUTION,19,0.406,2409
13,OPTIMAL_SOLUTION,20,0.972,6884
14,OPTIMAL_SOLUTION,21,0.626,3702
15,OPTIMAL_SOLUTION,22,2.818,17598
16,OPTIMAL_SOLUTION,23,8.682,45772
17,OPTIMAL_SOLUTION,24,5.636,29343
18,OPTIMAL_SOLUTION,25,10.19,49078
19,OPTIMAL_SOLUTION,26,28.986,110935
20,OPTIMAL_SOLUTION,27,6.394,26249
21,OPTIMAL_SOLUTION,28,5.903,25654
22,OPTIMAL_SOLUTION,29,26.834,108378
23,OPTIMAL_SOLUTION,30,7.616,31278
24,OPTIMAL_SOLUTION,31,2.752,13129
25,SATISFIED,33,299.46,988826
26,OPTIMAL_SOLUTION,33,62.55,239900
27,OPTIMAL_SOLUTION,34,4.635,19750
28,OPTIMAL_SOLUTION,35,13.049,58625
29,OPTIMAL_SOLUTION,36,18.698,69667
30,SATISFIED,38,299.455,1020565
31,OPTIMAL_SOLUTION,38,0.9,3855
32,SATISFIED,40,299.491,1051878
33,OPTIMAL_SOLUTION,40,0.988,3347
34,SATISFIED,40,299.507,1076890
35,SATISFIED,40,299.466,1152074
36,SATISFIED,40,299.507,1155183
37,SATISFIED,61,299.484,905513
38,SATISFIED,60,299.481,954156
39,SATISFIED,61,299.467,995004
40,SATISFIED,92,298.521,333285
