N. Instance,Solution Status,Height,Time,N. Failures
1,OPTIMAL_SOLUTION,8,0.037,0
2,OPTIMAL_SOLUTION,9,0.032,33
3,OPTIMAL_SOLUTION,10,0.038,24
4,OPTIMAL_SOLUTION,11,0.128,304
5,OPTIMAL_SOLUTION,12,0.101,397
6,OPTIMAL_SOLUTION,13,0.109,366
7,OPTIMAL_SOLUTION,14,0.149,586
8,OPTIMAL_SOLUTION,15,0.14,444
9,OPTIMAL_SOLUTION,16,0.319,1807
10,OPTIMAL_SOLUTION,17,0.293,1370
11,OPTIMAL_SOLUTION,18,1.157,5284
12,OPTIMAL_SOLUTION,19,0.631,2409
13,OPTIMAL_SOLUTION,20,1.434,6884
14,OPTIMAL_SOLUTION,21,0.852,3702
15,OPTIMAL_SOLUTION,22,4.334,17598
16,OPTIMAL_SOLUTION,23,11.51,45772
17,OPTIMAL_SOLUTION,24,6.619,29343
18,OPTIMAL_SOLUTION,25,14.325,49078
19,OPTIMAL_SOLUTION,26,41.843,110935
20,OPTIMAL_SOLUTION,27,9.632,26249
21,OPTIMAL_SOLUTION,28,8.765,25654
22,OPTIMAL_SOLUTION,29,41.265,108378
23,OPTIMAL_SOLUTION,30,10.231,31278
24,OPTIMAL_SOLUTION,31,4.369,13129
25,SATISFIED,33,299.381,628152
26,OPTIMAL_SOLUTION,33,98.723,239900
27,OPTIMAL_SOLUTION,34,7.82,19750
28,OPTIMAL_SOLUTION,35,20.902,58625
29,OPTIMAL_SOLUTION,36,29.156,69667
30,SATISFIED,38,299.182,643297
31,OPTIMAL_SOLUTION,38,1.439,3855
32,SATISFIED,40,299.128,696005
33,OPTIMAL_SOLUTION,40,1.691,3347
34,SATISFIED,40,299.098,709326
35,SATISFIED,40,299.197,739404
36,SATISFIED,40,299.32,712599
37,SATISFIED,61,299.103,537617
38,SATISFIED,61,299.151,550034
39,SATISFIED,61,299.124,597662
40,SATISFIED,92,298.494,307512
