N. Instance,Solution Status,Height,Time,N. Failures
1,OPTIMAL_SOLUTION,8,0.006,0
2,OPTIMAL_SOLUTION,9,0.012,71
3,OPTIMAL_SOLUTION,10,0.009,0
4,OPTIMAL_SOLUTION,11,0.013,196
5,OPTIMAL_SOLUTION,12,0.024,320
6,OPTIMAL_SOLUTION,13,0.028,412
7,OPTIMAL_SOLUTION,14,0.11,2418
8,OPTIMAL_SOLUTION,15,0.036,330
9,OPTIMAL_SOLUTION,16,0.034,337
10,OPTIMAL_SOLUTION,17,0.043,377
11,OPTIMAL_SOLUTION,18,0.245,3009
12,OPTIMAL_SOLUTION,19,0.144,1580
13,OPTIMAL_SOLUTION,20,0.444,3452
14,OPTIMAL_SOLUTION,21,0.504,5287
15,OPTIMAL_SOLUTION,22,2.848,33248
16,OPTIMAL_SOLUTION,23,6.318,54921
17,OPTIMAL_SOLUTION,24,2.942,26908
18,OPTIMAL_SOLUTION,25,11.502,88649
19,OPTIMAL_SOLUTION,26,4.091,28857
20,OPTIMAL_SOLUTION,27,26.805,192668
21,OPTIMAL_SOLUTION,28,14.623,102908
22,OPTIMAL_SOLUTION,29,233.188,1226407
23,OPTIMAL_SOLUTION,30,15.09,92084
24,OPTIMAL_SOLUTION,31,4.814,29291
25,SATISFIED,33,299.681,1238378
26,OPTIMAL_SOLUTION,33,1.895,10693
27,OPTIMAL_SOLUTION,34,121.583,637954
28,OPTIMAL_SOLUTION,35,12.636,72938
29,OPTIMAL_SOLUTION,36,131.43,610231
30,SATISFIED,38,299.58,1295027
31,OPTIMAL_SOLUTION,38,0.543,2528
32,SATISFIED,40,299.602,1196520
33,OPTIMAL_SOLUTION,40,22.463,132944
34,SATISFIED,40,299.58,1158149
35,SATISFIED,40,299.609,1357649
36,SATISFIED,40,299.601,1326452
37,SATISFIED,61,299.56,1034826
38,SATISFIED,60,299.582,1129491
39,SATISFIED,61,299.596,1122277
40,SATISFIED,92,299.457,385146
