N. Instance,Solution Status,Height,Time,N. Failures
1,OPTIMAL_SOLUTION,8,0.025,1
2,OPTIMAL_SOLUTION,9,0.015,18
3,OPTIMAL_SOLUTION,10,0.013,1
4,OPTIMAL_SOLUTION,11,0.03,546
5,OPTIMAL_SOLUTION,12,0.016,12
6,OPTIMAL_SOLUTION,13,0.014,11
7,OPTIMAL_SOLUTION,14,0.462,12441
8,OPTIMAL_SOLUTION,15,0.233,5484
9,OPTIMAL_SOLUTION,16,3.522,78033
10,OPTIMAL_SOLUTION,17,4.294,72295
11,UNKNOWN,,,
12,UNKNOWN,,,
13,UNKNOWN,,,
14,UNKNOWN,,,
15,UNKNOWN,,,
16,UNKNOWN,,,
17,UNKNOWN,,,
18,UNKNOWN,,,
19,UNKNOWN,,,
20,UNKNOWN,,,
21,UNKNOWN,,,
22,UNKNOWN,,,
23,UNKNOWN,,,
24,UNKNOWN,,,
25,UNKNOWN,,,
26,UNKNOWN,,,
27,UNKNOWN,,,
28,UNKNOWN,,,
29,UNKNOWN,,,
30,UNKNOWN,,,
31,UNKNOWN,,,
32,UNKNOWN,,,
33,UNKNOWN,,,
34,UNKNOWN,,,
35,UNKNOWN,,,
36,UNKNOWN,,,
37,UNKNOWN,,,
38,UNKNOWN,,,
39,UNKNOWN,,,
40,UNKNOWN,,,
