N. Instance,Solution Status,Height,Time,N. Failures
1,OPTIMAL_SOLUTION,8,0.024,1
2,OPTIMAL_SOLUTION,9,0.015,18
3,OPTIMAL_SOLUTION,10,0.024,11
4,OPTIMAL_SOLUTION,11,0.035,103
5,OPTIMAL_SOLUTION,12,0.035,12
6,OPTIMAL_SOLUTION,13,0.527,4350
7,OPTIMAL_SOLUTION,14,0.454,4507
8,OPTIMAL_SOLUTION,15,0.778,11446
9,OPTIMAL_SOLUTION,16,4.61,65206
10,OPTIMAL_SOLUTION,17,12.09,224405
11,OPTIMAL_SOLUTION,18,8.412,126590
12,UNKNOWN,,,
13,UNKNOWN,,,
14,UNKNOWN,,,
15,UNKNOWN,,,
16,UNKNOWN,,,
17,UNKNOWN,,,
18,UNKNOWN,,,
19,UNKNOWN,,,
20,UNKNOWN,,,
21,UNKNOWN,,,
22,UNKNOWN,,,
23,UNKNOWN,,,
24,UNKNOWN,,,
25,UNKNOWN,,,
26,UNKNOWN,,,
27,UNKNOWN,,,
28,UNKNOWN,,,
29,UNKNOWN,,,
30,UNKNOWN,,,
31,UNKNOWN,,,
32,UNKNOWN,,,
33,UNKNOWN,,,
34,UNKNOWN,,,
35,UNKNOWN,,,
36,UNKNOWN,,,
37,UNKNOWN,,,
38,UNKNOWN,,,
39,UNKNOWN,,,
40,UNKNOWN,,,
