N. Instance,Solution Status,Height,Time
1,Optimal,8,0.0313
2,Optimal,9,0.053
3,Optimal,10,0.0625
4,Optimal,11,0.069
5,Optimal,12,0.0846
6,Optimal,13,0.138
7,Optimal,14,0.4495
8,Optimal,15,0.1537
9,Optimal,16,0.2853
10,Optimal,17,0.5695
11,Optimal,18,51.6923
12,Optimal,19,0.7966
13,Optimal,20,2.7328
14,Optimal,21,24.1093
15,Optimal,22,77.4567
16,Optimal,24,300.1459
17,Optimal,25,300.125
18,Optimal,25,36.2005
19,Optimal,27,300.1334
20,Optimal,28,300.2036
21,Optimal,29,300.1564
22,Optimal,31,300.2106
23,Optimal,31,300.1469
24,Optimal,32,300.2056
25,Optimal,33,300.2262
26,Optimal,34,300.2314
27,Optimal,35,300.2011
28,Optimal,36,300.2428
29,Optimal,37,300.1719
30,Optimal,39,300.2368
31,Optimal,39,300.2334
32,Optimal,41,300.2144
33,Optimal,41,300.1311
34,Optimal,41,300.2939
35,Optimal,41,300.1809
36,Optimal,41,300.1965
37,Optimal,62,300.2632
38,Optimal,62,300.2513
39,Optimal,61,300.2683
40,Optimal,103,300.8664
