N. Instance,Solution Status,Height,Time
1,sat,8,0.0032
2,sat,9,0.0113
3,sat,10,0.0169
4,sat,11,0.0306
5,sat,12,0.053
6,sat,13,0.1001
7,sat,14,0.0995
8,sat,15,0.1541
9,sat,16,0.1427
10,sat,17,0.3767
11,sat,18,12.0428
12,sat,19,1.3819
13,sat,20,0.6845
14,sat,21,1.7077
15,sat,22,1.9362
16,sat,23,16.6987
17,sat,24,13.7395
18,sat,25,6.5369
19,sat,26,16.8533
20,sat,27,22.7912
21,sat,28,38.404
22,sat,29,187.4515
23,sat,30,32.25
24,sat,31,10.7121
25,sat,32,276.5605
26,sat,33,114.3744
27,sat,34,29.0003
28,sat,35,98.6245
29,sat,36,128.5212
30,unknown,NULL,300.0161
31,sat,38,20.3214
32,unknown,NULL,300.0233
33,sat,40,18.2718
34,unknown,NULL,300.0168
35,unknown,NULL,300.0112
36,unknown,NULL,300.0118
37,unknown,NULL,300.0118
38,unknown,NULL,300.0187
39,unknown,NULL,300.0143
40,unknown,NULL,300.0009
