N. Instance,Solution Status,Height,Time
1,sat,8,0.0034
2,sat,9,0.0118
3,sat,10,0.0189
4,sat,11,0.0303
5,sat,12,0.0842
6,sat,13,0.1362
7,sat,14,0.1292
8,sat,15,0.2226
9,sat,16,0.1376
10,sat,17,0.569
11,sat,18,2.3772
12,sat,19,1.3942
13,sat,20,1.1523
14,sat,21,2.4738
15,sat,22,2.6335
16,unknown,NULL,300.0134
17,sat,24,6.589
18,sat,25,6.4464
19,sat,26,92.611
20,sat,27,17.8803
21,sat,28,85.5267
22,unknown,NULL,300.0113
23,sat,30,80.0721
24,sat,31,15.0254
25,unknown,NULL,300.0136
26,sat,33,160.4206
27,sat,34,41.682
28,sat,35,79.6717
29,sat,36,74.1104
30,unknown,NULL,300.02
31,sat,38,13.3096
32,unknown,NULL,300.0264
33,sat,40,34.4707
34,unknown,NULL,300.0203
35,unknown,NULL,300.0173
36,unknown,NULL,300.0126
37,unknown,NULL,300.0182
38,unknown,NULL,300.0266
39,unknown,NULL,300.0166
40,unknown,NULL,300.0009
