N. Instance,Solution Status,Height,Time
1,sat,8,0.005
2,sat,9,0.0305
3,sat,10,0.0581
4,sat,11,0.0648
5,sat,12,0.5332
6,sat,13,0.3881
7,sat,14,0.8507
8,sat,15,0.2811
9,sat,16,0.7708
10,sat,17,7.3237
11,sat,18,106.2994
12,sat,19,5.7771
13,sat,20,10.3643
14,sat,21,62.2276
15,sat,22,61.8082
16,unknown,NULL,300.0171
17,sat,24,198.1529
18,unknown,NULL,300.0354
19,unknown,NULL,300.0243
20,unknown,NULL,300.0274
21,unknown,NULL,300.0485
22,unknown,NULL,300.0743
23,unknown,NULL,300.0732
24,unknown,NULL,300.2147
25,unknown,NULL,300.0768
26,unknown,NULL,300.0378
27,unknown,NULL,300.4357
28,unknown,NULL,300.0736
29,unknown,NULL,300.0325
30,unknown,NULL,300.0245
31,unknown,NULL,300.0689
32,unknown,NULL,300.0245
33,unknown,NULL,300.1572
34,unknown,NULL,300.0583
35,unknown,NULL,300.0248
36,unknown,NULL,300.013
37,unknown,NULL,300.0575
38,unknown,NULL,300.6729
39,unknown,NULL,300.0434
40,unknown,NULL,300.0187
