N. Instance,Solution Status,Height,Time
1,sat,8,0.005
2,sat,9,0.0268
3,sat,10,0.0495
4,sat,11,0.0781
5,sat,12,0.4125
6,sat,13,0.3691
7,sat,14,0.5562
8,sat,15,0.6674
9,sat,16,1.6497
10,sat,17,3.254
11,sat,18,110.1241
12,sat,19,13.7852
13,sat,20,19.1493
14,sat,21,36.7086
15,sat,22,60.1042
16,sat,23,205.4455
17,sat,24,189.533
18,sat,25,296.4938
19,unknown,NULL,300.022
20,unknown,NULL,300.0205
21,unknown,NULL,300.0217
22,unknown,NULL,300.0244
23,sat,30,98.2381
24,sat,31,74.5579
25,unknown,NULL,300.0278
26,unknown,NULL,300.0225
27,sat,34,152.7008
28,unknown,NULL,300.0265
29,unknown,NULL,300.0261
30,unknown,NULL,300.0291
31,sat,38,184.4852
32,unknown,NULL,300.0258
33,sat,40,161.6127
34,unknown,NULL,300.0223
35,unknown,NULL,300.019
36,unknown,NULL,300.0203
37,unknown,NULL,300.027
38,unknown,NULL,300.0273
39,unknown,NULL,300.0264
40,unknown,NULL,300.0017
